,levels,time,decibels
156,0.0179257899334,2017-04-09 19:48:09,-34.9304339448
157,0.0112320381454,2017-04-09 19:48:10,-38.9908286059
158,0.0184660743157,2017-04-09 19:48:11,-34.6725084195
159,0.0114027637728,2017-04-09 19:48:12,-38.8597974543
160,0.0284139641067,2017-04-09 19:48:13,-30.9293634497
161,0.0173863096835,2017-04-09 19:48:14,-35.1958517805
162,0.0243959913803,2017-04-09 19:48:15,-32.2536305752
163,0.0177061727883,2017-04-09 19:48:16,-35.0375060394
164,0.013516414315,2017-04-09 19:48:17,-37.3827700876
165,0.0145228256523,2017-04-09 19:48:18,-36.758977527
166,0.014527348791,2017-04-09 19:48:19,-36.756272725
167,0.0128576929602,2017-04-09 19:48:20,-37.8167389868
168,0.0125770613676,2017-04-09 19:48:21,-38.0084164002
169,0.0134504667237,2017-04-09 19:48:22,-37.4252529125
170,0.0149791259461,2017-04-09 19:48:23,-36.4902705523
171,0.0111133373048,2017-04-09 19:48:24,-39.0831100806
172,0.0215996498417,2017-04-09 19:48:25,-33.3110657854
173,0.0124378671015,2017-04-09 19:48:26,-38.1050817586
174,0.0105905676566,2017-04-09 19:48:27,-39.5016152199
175,0.00755296616418,2017-04-09 19:48:28,-42.4376492171
176,0.00788233240975,2017-04-09 19:48:29,-42.0669050847
177,0.00749321574389,2017-04-09 19:48:30,-42.5066352612
178,0.015870652424,2017-04-09 19:48:31,-35.9881043908
179,0.0171072485189,2017-04-09 19:48:32,-35.3363967106
180,0.0284696208962,2017-04-09 19:48:33,-30.9123663183
181,0.0596976235515,2017-04-09 19:48:34,-24.4808591392
182,0.0759070240641,2017-04-09 19:48:35,-22.3943606952
183,0.0776413465644,2017-04-09 19:48:36,-22.1981388216
184,0.0556325197278,2017-04-09 19:48:37,-25.0934253879
185,0.0382471590768,2017-04-09 19:48:38,-28.3480163569
186,0.025208625259,2017-04-09 19:48:39,-31.9690167546
187,0.0256459070923,2017-04-09 19:48:40,-31.8196387078
188,0.0288274705656,2017-04-09 19:48:41,-30.8038692526
189,0.0252672342139,2017-04-09 19:48:42,-31.948845879
190,0.0390474653335,2017-04-09 19:48:43,-28.1681430398
191,0.0537432621468,2017-04-09 19:48:44,-25.3935195197
192,0.0602385301485,2017-04-09 19:48:45,-24.4025126738
193,0.0407197604463,2017-04-09 19:48:46,-27.8038957122
194,0.0324304436634,2017-04-09 19:48:47,-29.7809421988
195,0.0668677063378,2017-04-09 19:48:48,-23.4956714699
196,0.0435562192611,2017-04-09 19:48:49,-27.2189964926
197,0.0401598210117,2017-04-09 19:48:50,-27.9241646293
198,0.0533864061452,2017-04-09 19:48:51,-25.451386278
199,0.0285097465266,2017-04-09 19:48:52,-30.9001328777
200,0.0284707699069,2017-04-09 19:48:53,-30.91201577
201,0.024060647283,2017-04-09 19:48:54,-32.3738538677
202,0.0313426856629,2017-04-09 19:48:55,-30.077275857
203,0.061316748375,2017-04-09 19:48:56,-24.2484176766
204,0.0470579332029,2017-04-09 19:48:57,-26.5473430214
205,0.0390273738132,2017-04-09 19:48:58,-28.172613436
206,0.036768816855,2017-04-09 19:48:59,-28.6904068922
207,0.0576085251598,2017-04-09 19:49:00,-24.7902648607
208,0.0521870905535,2017-04-09 19:49:01,-25.6487382904
209,0.0297122714122,2017-04-09 19:49:02,-30.5412829289
210,0.0262968877366,2017-04-09 19:49:03,-31.6019129532
211,0.0290012109575,2017-04-09 19:49:04,-30.7516773516
212,0.0197070497785,2017-04-09 19:49:05,-34.1075677283
213,0.0260940021982,2017-04-09 19:49:06,-31.6691861073
214,0.0227286916805,2017-04-09 19:49:07,-32.8685112523
215,0.0271562238632,2017-04-09 19:49:08,-31.3226123972
216,0.0273689727295,2017-04-09 19:49:09,-31.254830063
217,0.0274379780509,2017-04-09 19:49:10,-31.232957913
218,0.023896471265,2017-04-09 19:49:11,-32.433324511
219,0.024491684678,2017-04-09 19:49:12,-32.2196268119
220,0.0267776828071,2017-04-09 19:49:13,-31.4445401429
221,0.031532965204,2017-04-09 19:49:14,-30.0247037685
222,0.0631888800303,2017-04-09 19:49:15,-23.9871868414
223,0.0252933513748,2017-04-09 19:49:16,-31.9398724545
224,0.0221382628,2017-04-09 19:49:17,-33.0971292283
225,0.0205762686031,2017-04-09 19:49:18,-33.7326675886
226,0.0199554708698,2017-04-09 19:49:19,-33.9987604027
227,0.0219927301859,2017-04-09 19:49:20,-33.1544170762
228,0.0232321639419,2017-04-09 19:49:21,-32.6782067259
229,0.0214600721546,2017-04-09 19:49:22,-33.367376443
230,0.023877000837,2017-04-09 19:49:23,-32.4404045071
231,0.028180282094,2017-04-09 19:49:24,-31.0010932754
232,0.0280910491423,2017-04-09 19:49:25,-31.02864081
233,0.0238882875246,2017-04-09 19:49:26,-32.4362996465
234,0.0060041970517,2017-04-09 19:49:27,-44.4309012617
235,0.0133348785631,2017-04-09 19:49:28,-37.500218699
236,0.033085933361,2017-04-09 19:49:29,-29.6071321862
237,0.0160115350114,2017-04-09 19:49:30,-35.9113406133
238,0.00483468656838,2017-04-09 19:49:31,-46.3126335176
239,0.00734925333273,2017-04-09 19:49:32,-42.6751356399
240,0.0201849645617,2017-04-09 19:49:33,-33.8994401747
